no,store,sku,cat_code,cat_name,material_name,count_name,quantity,cost,price_avg
4,MAIN,ABA006020A0,2BF,ANAGRAM,22TR HBD Airplane (A),ใบ,106,"3,762.93",35.4993
6,MAIN,ABR000010A0,2BF,ANAGRAM,"22""TR SINGLE BUBBLE FUN SEA CREATURES (A)",ใบ,35,875,25
7,MAIN,ABR000020A0,2BF,ANAGRAM,"22""TR SINGLE BUBBLE MY FRIENDS TIGGER&POOH (A)",ใบ,88,"2,200.00",25
13,MAIN,ABR156100A0,2BF,ANAGRAM,20TR Heart All Around Deco Bubble (A),ใบ,75,"3,284.25",43.79
14,MAIN,ABR166760A0,2BF,ANAGRAM,22TR Single Bubble I Love You Heart (A),ใบ,27,958.5,35.5
16,MAIN,ABR177200A0,2BF,ANAGRAM,22TR Single Bubble Valentine Colorful Hearts (A),ใบ,16,568,35.5
17,MAIN,ABR190270A0,2BF,ANAGRAM,22TR Single Bubble Mickey Park (A),ใบ,40,"1,419.98",35.4995
31,MAIN,AFA000010A0,2BF,ANAGRAM,"18""F CROW",ใบ,35,210,6
32,MAIN,AFA000020A0,2BF,ANAGRAM,"14"" SPEECH",ใบ,60,360,6
33,MAIN,AFA000030A0,2BF,ANAGRAM,MINI ELMO HEAD,ใบ,,,
34,MAIN,AFA000040A0,2BF,ANAGRAM,MINI ELMO FULL BODY,ใบ,,,
35,MAIN,AFA000060A0,2BF,ANAGRAM,"9""FR Snoopy Love (A)",ใบ,37,592,16
36,MAIN,AFA055100A0,2BF,ANAGRAM,9FR Smile(A),ใบ,197,"1,701.49",8.637
37,MAIN,AFA058130A0,2BF,ANAGRAM,Large 37 Ocean Blue Dolphin (A),ใบ,291,"16,488.38",56.6611
38,MAIN,AFA060690A0,2BF,ANAGRAM,Mini Ocean Blue Dolphin (A),ใบ,505,"10,513.07",20.818
39,MAIN,AFA070380A0,2BF,ANAGRAM,"9""FR HBD Coolbereeze (A)",ใบ,10,96.21,9.621
40,MAIN,AFA074600A0,2BF,ANAGRAM,Large 37 Ocean Pink Dolphin (A),ใบ,146,"8,276.37",56.6875
41,MAIN,AFA075850A0,2BF,ANAGRAM,AWK Happy Hugs Red 26FH,ใบ,13,"1,033.89",79.53
42,MAIN,AFA076640A0,2BF,ANAGRAM,Large Dinosaur Party (A),ใบ,64,"3,627.61",56.6814
43,MAIN,AFA077170A0,2BF,ANAGRAM,Mini Bubbly Wine (Champagne Bottle) (A),ใบ,390,"8,169.03",20.9462
44,MAIN,AFA077250A0,2BF,ANAGRAM,Mini Tropical Fish (A),ใบ,505,"10,695.01",21.1782
45,MAIN,AFA077640A0,2BF,ANAGRAM,Large 27 Mickey Mouse (A),ใบ,36,"2,359.03",65.5286
46,MAIN,AFA077650A0,2BF,ANAGRAM,Large 28 Minnie Mouse (A),ใบ,51,"2,813.99",55.1763
47,MAIN,AFA077710A0,2BF,ANAGRAM,Large Big Pooh Hug(A),ใบ,49,"3,220.15",65.7173
48,MAIN,AFA078630A0,2BF,ANAGRAM,"9""FH Petals & Pearls Anniversary (A)",ใบ,457,"11,101.20",24.2915
49,MAIN,AFA078750A0,2BF,ANAGRAM,"4""FR Congrats Jubillee (A)",ใบ,425,128.77,0.303
50,MAIN,AFA078890A0,2BF,ANAGRAM,Mini Mickey Mouse (A),ใบ,196,"4,156.57",21.207
51,MAIN,AFA078900A0,2BF,ANAGRAM,Mini MINNIE MOUSE (A),ใบ,158,"3,061.05",19.3737
52,MAIN,AFA083180A0,2BF,ANAGRAM,AWK Mickey Mouse 52F(A),ใบ,73,"16,258.48",222.7189
53,MAIN,AFA083190A0,2BF,ANAGRAM,AWK Minnie Mouse 54F(A),ใบ,66,"15,003.66",227.3282
54,MAIN,AFA083340A0,2BF,ANAGRAM,Mini Big Pooh Hug,ใบ,7,310.97,44.4243
55,MAIN,AFA083350A0,2BF,ANAGRAM,Large Big As Life Pooh (A),ใบ,42,"2,344.86",55.83
56,MAIN,AFA084340A0,2BF,ANAGRAM,Mini Ocean Pink Dolphin (A),ใบ,587,"12,518.59",21.3264
57,MAIN,AFA098330A0,2BF,ANAGRAM,Large Jumping Grad(A),ใบ,22,"1,216.40",55.2909
58,MAIN,AFA098960A0,2BF,ANAGRAM,19FS Rainbow Congrats (A),ใบ,23,674.3,29.3174
59,MAIN,AFA101070A0,2BF,ANAGRAM,Mini HBD Cupcake (A),ใบ,396,"8,322.73",21.017
60,MAIN,AFA101100A0,2BF,ANAGRAM,Mini Get Well Bear (A),ใบ,763,"15,976.32",20.9388
61,MAIN,AFA101110A0,2BF,ANAGRAM,"9""FR HBD Sunny Days",ใบ,39,375.22,9.621
62,MAIN,AFA104670A0,2BF,ANAGRAM,"24""FH Pooh Valentine Drop Line (A)",ใบ,42,"6,272.07",149.335
63,MAIN,AFA107860A0,2BF,ANAGRAM,Mini Smiley Grad Blue(A),ใบ,483,"10,242.54",21.2061
64,MAIN,AFA107890A0,2BF,ANAGRAM,Mini Smiley Grad Red(A),ใบ,528,"11,197.09",21.2066
65,MAIN,AFA107910A0,2BF,ANAGRAM,Mini Smiley Grad White(A),ใบ,592,"12,554.79",21.2074
66,MAIN,AFA110060A0,2BF,ANAGRAM,AWK Little Mermaid 53(A),ใบ,44,"29,201.46",663.6695
67,MAIN,AFA110080A0,2BF,ANAGRAM,AWK ELSA THE SNOW QUEEN(A),ใบ,34,"8,813.37",259.2168
68,MAIN,AFA111190A0,2BF,ANAGRAM,AWK 54 Monster University-Mike(A),ใบ,119,"33,791.08",283.9587
69,MAIN,AFA119580A0,2BF,ANAGRAM,"18""FR Am Pink Zebra (A)",ใบ,462,"12,468.48",26.9881
70,MAIN,AFA119590A0,2BF,ANAGRAM,"18""FR Am Zebra (A)",ใบ,69,"1,861.62",26.98
71,MAIN,AFA126840A0,2BF,ANAGRAM,Med19 HBD Make A Wish Cupcake (A),ใบ,40,"1,297.44",32.436
72,MAIN,AFA129670A0,2BF,ANAGRAM,Mini Cars Lightning McQueen(A),ใบ,5,120.41,24.082
