H,1/1/2017,22,INA1701017,L16-00000,,,,2017-KI08,,2556110255,,,,,,,,,93,N,9870.64,,,,,,9870.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,1, ALQ260031S0,,,,,,KI08,,Y,277,,,„∫,511.73,,,,511.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,2,AMRF0220400,,,,,,KI08,,Y,180,,,¡È«π,180,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,3, AMRF0222000,,,,,,KI08,,Y,180,,,¡È«π,180,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,4,AMRF0220100,,,,,,KI08,,Y,179,,,¡È«π,179,,,,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,5, AMRF0222200,,,,,,KI08,,Y,179,,,¡È«π,179,,,,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,6,ALQ260530S0,,,,,,KI08,,Y,100,,,„∫,98.4,,,,98.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,7,ALR012P19S0,,,,,,KI08,,Y,100,,,„∫,318.12,,,,318.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,8, ALR006M46B0,,,,,,KI08,,Y,95,,,„∫,48.45,,,,48.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,9, ALR012P02S0,,,,,,KI08,,Y,86,,,„∫,205.19,,,,205.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,10,ALR006M45B0,,,,,,KI08,,Y,76,,,„∫,38.76,,,,38.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,11,ALQ260S16Q0,,,,,,KI08,,Y,58,,,„∫,238.96,,,,238.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,12,ALR012M37B0,,,,,,KI08,,Y,51,,,„∫,63.75,,,,63.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,13,ALQ260021S0,,,,,,KI08,,Y,50,,,„∫,47,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,14,ALQ360051S0,,,,,,KI08,,Y,50,,,„∫,85.05,,,,85.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,15,ALQ360040S0,,,,,,KI08,,Y,48,,,„∫,74.19,,,,74.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,16,ALR012M43B0,,,,,,KI08,,Y,47,,,„∫,58.75,,,,58.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,17,ALQ260036S0,,,,,,KI08,,Y,45,,,„∫,142.55,,,,142.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
L,18,ALR005390S0,,,,,,KI08,,Y,43,,,„∫,27.72,,,,27.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
